product_code,product_description
NMSW0250,10 TYPES OF ASSORTED SWEETS 250 GMS
NMSW0500,10 TYPES OF ASSORTED SWEETS 500 GMS
NMSW1000,10 TYPES OF ASSORTED SWEETS 1000 GMS
NMTE0200,TETRA BADAM FM 200 ML
NMTM0200,TULASI BOTTLE FM 200 ML
NMTO0200,DAIRY WHITENER 200 GM OLD
NMTO0250,BELGAUM KUNDA TIN 250 GM OLD
NMTP0200,TETRA PISTA FM 200 ML
NMTR0014,DAIRY WHITENER 14 GM
NMTR0028,DAIRY WHITENER 28 GM
NMTR0200,WATER 200 ML
NMTR0250,AQUA WATER 250 ML
NMTR0500,AQUA WATER 500 ML
NMTR1000,AQUA WATER 1000 ML
NMTR2000,AQUA WATER 2000 ML
NMUF0200,BADAM BURFEE 200 GM
NMUF0250,BADAM BURFEE 250 GM
NMUT0250,BELGAUM KUNDA TIN 250 GM
NMVA0200,PET BOTTLE GOOD LIFE VANILLA 200
NMWT0500,ASSORTED SWEET 500 GM
NMWT1000,ASSORTED SWEET 1000 GM
NMXC0200,JAMOON MIX CARTON 200 GM
NMYM0100,YOGURT MANGO 100 ML
NMYS0200,PAYASA MIX 200 GM
PD000100,PEDA 100GMS
PD000250,PEDA 250 GMS
PD00BULK,PEDA BULK
PD250500,PEDA 25 GM 500 GM PACK
PD251000,PEDA 25 GMS
PDSP0025,PEDA 25 GMS SINGLE PIECE
PIAA0001,AMYLE ALCOHOL FOR MILK TESTING
PIAB0001,A.I. RECEIPT BOOK
PIAC0001,MOTHER BOARD ACCER(DUALCORE H81 EXPRESS)
PIAD0001,ADMISSION REGISTER.
PIAE0001,AUTOMATIC ELECTRONIC MILK TESTER
PIAF0001,L.D. AF X 100 OIL
PIAG0001,ACID BOTTLE GLASS.
PIAH0001,ALLU MILK CAN HANDLE
PIAH6100,BATTERY 6V/1AH
PIAH6101,BATTERY 6V/10AH
PIAI0001,ANIMAL INSEMINATION PAD
PIAL0001,ALU MILK CAN SPARE LID
PIAL1001,JERRY CAN 10LTR CAPACITY
PIAM0001,ADMISSION REGISTER
PIAN0001,ALU MILK CAN BOTTOM RING
